,flip,move,capture,skip
"[('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'known', 1), ('骑士', 'known', 1), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('弓箭手', 'known', 1), ('卫兵', 'unknown', 0), ('国王', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 0), ('农民', 'unknown', 0)]",0,0,0,0
"[('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'known', 1), ('骑士', 'known', 1), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('弓箭手', 'known', 1), ('卫兵', 'unknown', 0), ('国王', 'known', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 0), ('农民', 'unknown', 0)]",0.1,0,0,0
"[('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'known', 1), ('骑士', 'known', 1), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('弓箭手', 'known', 1), ('卫兵', 'unknown', 0), ('国王', 'known', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'known', 1), ('卫兵', 'known', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 0), ('农民', 'unknown', 0)]",0,0,0,0
"[('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'known', 1), ('骑士', 'known', 1), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('弓箭手', 'known', 1), ('卫兵', 'unknown', 0), ('国王', 'known', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 0), ('农民', 'unknown', 0)]",0,0.0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0.1,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0.1,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'unknown', 1), ('卫兵', 'known', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0.1,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'unknown', 1), ('卫兵', 'known', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'unknown', 1), ('卫兵', 'known', 1), ('弓箭手', 'known', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0.1,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('骑士', 'known', 0), ('卫兵', 'known', 1), ('卫兵', 'known', 1), ('弓箭手', 'known', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('empty', 'unknown', -1), ('骑士', 'known', 0), ('卫兵', 'known', 1), ('弓箭手', 'known', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0.1,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 0), ('empty', 'unknown', -1), ('骑士', 'known', 0), ('卫兵', 'known', 1), ('弓箭手', 'known', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'known', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'known', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 0)]",0,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0.1,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('农民', 'unknown', 0), ('弓箭手', 'known', 0), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('农民', 'unknown', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0.1,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('农民', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0.1,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('农民', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('农民', 'known', 0), ('骑士', 'unknown', 0), ('农民', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0.1,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'known', 0), ('农民', 'known', 0), ('骑士', 'unknown', 0), ('农民', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'known', 0), ('农民', 'known', 0), ('骑士', 'unknown', 0), ('农民', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'known', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0.1,0,0,0
"[('卫兵', 'unknown', 0), ('弓箭手', 'known', 0), ('农民', 'known', 0), ('骑士', 'unknown', 0), ('农民', 'known', 0), ('empty', 'unknown', -1), ('弓箭手', 'known', 0), ('卫兵', 'known', 0), ('弓箭手', 'unknown', 1), ('国王', 'known', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 1)]",0,0,0,0
"[('弓箭手', 'unknown', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1)]",0.1,0,0,0
"[('弓箭手', 'known', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1)]",0,0,0,0
"[('弓箭手', 'known', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1)]",0.1,0,0,0
"[('弓箭手', 'known', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'known', 0), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('农民', 'unknown', 0), ('农民', 'known', 0), ('农民', 'unknown', 1), ('弓箭手', 'known', 1), ('骑士', 'unknown', 1)]",0,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'known', 1), ('empty', 'unknown', -1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('国王', 'unknown', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1), ('卫兵', 'unknown', 1)]",0,-0.010000000000000002,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('empty', 'unknown', -1), ('农民', 'known', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('国王', 'unknown', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1), ('卫兵', 'unknown', 1)]",0,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('empty', 'unknown', -1), ('农民', 'known', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('国王', 'unknown', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1), ('卫兵', 'unknown', 1)]",0.1,0,0,0
"[('农民', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('农民', 'known', 1), ('empty', 'unknown', -1), ('农民', 'known', 1), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 0), ('国王', 'unknown', 1), ('卫兵', 'unknown', 0), ('弓箭手', 'known', 0), ('卫兵', 'unknown', 1), ('弓箭手', 'unknown', 1), ('弓箭手', 'unknown', 1), ('骑士', 'unknown', 1), ('卫兵', 'unknown', 1)]",0,0,0,0
"[('卫兵', 'known', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('农民', 'unknown', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 0)]",0.1,0,0,0
"[('卫兵', 'known', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 0)]",0,0,0,0
"[('卫兵', 'known', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'known', 1), ('卫兵', 'unknown', 0)]",0.1,0,0,0
"[('卫兵', 'known', 1), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 0), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 1), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 1), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('农民', 'known', 1), ('卫兵', 'unknown', 0), ('卫兵', 'unknown', 1), ('骑士', 'unknown', 1), ('农民', 'known', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('国王', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'known', 1), ('卫兵', 'unknown', 0)]",0,0,0,0
"[('国王', 'unknown', 0), ('骑士', 'unknown', 1), ('农民', 'unknown', 0), ('弓箭手', 'unknown', 1), ('农民', 'unknown', 1), ('卫兵', 'known', 1), ('骑士', 'unknown', 0), ('卫兵', 'unknown', 1), ('卫兵', 'unknown', 1), ('农民', 'unknown', 1), ('弓箭手', 'unknown', 1), ('卫兵', 'unknown', 1), ('empty', 'unknown', -1), ('卫兵', 'unknown', 0), ('弓箭手', 'unknown', 0), ('弓箭手', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 1), ('农民', 'unknown', 0), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('国王', 'unknown', 1), ('农民', 'unknown', 0), ('卫兵', 'unknown', 0), ('农民', 'unknown', 1)]",0.1,0,0,0
